NAME,SIZE,PRICE
Caffe Latte,Tall,2.95
Caffe Latte,Grande,3.65
Caffe Latte,Venti,4.15
Caffe Mocha,Tall,3.45
Caffe Mocha,Grande,4.15
Caffe Mocha,Venti,4.65
White Chocolate Mocha,Tall,3.75
White Chocolate Mocha,Grande,4.45
White Chocolate Mocha,Venti,4.75
Freshly Brewed Coffee,Tall,1.85
Freshly Brewed Coffee,Grande,2.1
Freshly Brewed Coffee,Venti,2.45
Cinnamon Dolce Latte,Tall,3.65
Cinnamon Dolce Latte,Grande,4.25
Cinnamon Dolce Latte,Venti,4.65
Skinny Vanilla Latte,Tall,3.45
Skinny Vanilla Latte,Grande,4.15
Skinny Vanilla Latte,Venti,4.65
Caramel Macchiato,Tall,3.75
Caramel Macchiato,Grande,4.45
Caramel Macchiato,Venti,4.75
Caramel Flan Latte,Tall,3.75
Caramel Flan Latte,Grande,4.55
Caramel Flan Latte,Venti,4.75
Teavana® Oprah Cinnamon Chai Tea Latte,Tall,3.65
Teavana® Oprah Cinnamon Chai Tea Latte,Grande,4.25
Teavana® Oprah Cinnamon Chai Tea Latte,Venti,4.65
Flat White,Tall,3.75
Skinny Peppermint Mocha,Tall,3.95
Skinny Peppermint Mocha,Grande,4.65
Skinny Peppermint Mocha,Venti,4.95
Pumpkin Spice Latte (Limited Time),Tall,4.25
Pumpkin Spice Latte (Limited Time),Grande,4.95
Pumpkin Spice Latte (Limited Time),Venti,5.25
Salted Caramel Mocha (Limited Time),Tall,4.25
Salted Caramel Mocha (Limited Time),Grande,4.95
Salted Caramel Mocha (Limited Time),Venti,5.25
Toasted Graham Latte (Limited Time),Tall,4.25
Toasted Graham Latte (Limited Time),Grande,4.95
Toasted Graham Latte (Limited Time),Venti,5.25
"Frappuccino, Refreshers & Iced Coffee menu prices","Frappuccino, Refreshers & Iced Coffee menu prices",NA
Iced Coffee (with or without Milk),Tall,2.25
Iced Coffee (with or without Milk),Grande,2.65
Iced Coffee (with or without Milk),Venti,2.95
Iced Coffee (with or without Milk),Trenta,3.45
Caramel Frappuccino,Mini,3.75
Caramel Frappuccino,Tall,3.95
Caramel Frappuccino,Grande,4.45
Caramel Frappuccino,Venti,4.95
Mocha Frappuccino,Mini,3.75
Mocha Frappuccino,Tall,3.95
Mocha Frappuccino,Grande,4.45
Mocha Frappuccino,Venti,4.95
Strawberries & Creme Frappuccino,Mini,3.75
Strawberries & Creme Frappuccino,Tall,3.95
Strawberries & Creme Frappuccino,Grande,4.45
Strawberries & Creme Frappuccino,Venti,4.95
Coffee Frappuccino,Mini,2.95
Coffee Frappuccino,Tall,3.25
Coffee Frappuccino,Grande,3.95
Coffee Frappuccino,Venti,4.45
Vanilla Bean Creme Frappuccino,Mini,2.95
Vanilla Bean Creme Frappuccino,Tall,3.25
Vanilla Bean Creme Frappuccino,Grande,3.95
Vanilla Bean Creme Frappuccino,Venti,4.45
Iced Caramel Macchiato,Tall,3.75
Iced Caramel Macchiato,Grande,4.45
Iced Caramel Macchiato,Venti,4.95
Salted Caramel Mocha Frappuccino (Limited Time),Tall,4.25
Salted Caramel Mocha Frappuccino (Limited Time),Grande,4.95
Salted Caramel Mocha Frappuccino (Limited Time),Venti,5.25
Cool Lime or Very Berry Starbucks Refreshers™,Tall,2.95
Cool Lime or Very Berry Starbucks Refreshers™,Grande,3.45
Cool Lime or Very Berry Starbucks Refreshers™,Venti,3.95
Cool Lime or Very Berry Starbucks Refreshers™,Trenta,4.45
Teavana® Shaken Iced Tea,Tall,1.75
Teavana® Shaken Iced Tea,Grande,2.25
Teavana® Shaken Iced Tea,Venti,2.65
Teavana® Shaken Iced Tea,Trenta,2.95
Teavana® Shaken Iced Peach Green Tea Lemonade,Tall,2.75
Teavana® Shaken Iced Peach Green Tea Lemonade,Grande,3.25
Teavana® Shaken Iced Peach Green Tea Lemonade,Venti,3.75
Teavana® Shaken Iced Peach Green Tea Lemonade,Trenta,4.25
Teavana® Shaken Iced Black Tea Lemonade,Tall,2.45
Teavana® Shaken Iced Black Tea Lemonade,Grande,2.95
Teavana® Shaken Iced Black Tea Lemonade,Venti,3.45
Teavana® Shaken Iced Black Tea Lemonade,Trenta,3.95
Evolution Fresh,Grande,5.95
Bakery menu prices,Bakery menu prices,NA
Ham & Cheese Savory Foldover,,3.45
Wheat Spinach Savory Foldover,,3.45
Pepperoni & Tomato Savory Foldover,,3.45
Cheese Danish,,2.45
Butter Croissant,,2.45
Chocolate Croissant,,2.75
Blueberry Scone,,2.45
Banana Nut Bread,,2.75
Iced Lemon Pound Cake,,2.45
Morning Bun,,2.45
Chocolate Chip Cookie,,1.95
Double Chocolate Chunk Brownie,,2.35
Pumpkin Scone (Limited Time),,2.95
Pumpkin Cream Cheese Muffin (Limited Time),,2.95
Washington Apple Pound Cake (Limited Time),,2.95
All-Day Breakfast menu prices,All-Day Breakfast menu prices,NA
Hearty Blueberry Oatmeal,,3.45
Bacon & Gouda Breakfast Sandwich,,3.75
Sausage & Cheddar Breakfast Sandwich,,3.45
Spinach & Feta Breakfast Wrap,,3.75
Reduced-Fat Turkey Bacon Breakfast Sandwich,,3.75
Slow-Roasted Ham & Swiss on Croissant Bun,,4.75
"Double-Smoked Bacon, Cheddar & Egg on Croissant Bun (Limited Time)",,4.75
Lunch & Anytime Snacks menu prices,Lunch & Anytime Snacks menu prices,NA
Protein Bistro Box,,5.25
Cheese & Fruit Bistro Box,,4.95
Omega-3 Bistro Box,,5.95
PB&J on Wheat Bistro Box,,5.25
Turkey Rustico Panini,,6.45
Turkey Pesto Panini,,6.45
Ham & Swiss Panini,,5.95
Chicken Santa Fe Flatbread,,5.95
Chicken BLT Salad Deli Sandwich,,5.95
Roasted Tomato & Mozzarella Panini,,5.55
Chicken Artichoke Panini (Limited Time),,6.45
Old-Fashioned Grilled Cheese,,5.25
Edamame Hummus Wrap (Limited Time),,5.95
Thai-Style Peanut Chicken Wrap (Limited Time),,5.95
Salted Caramel or Birthday Cake Pop,,1.95
Salted Caramel or Birthday Cake Pop,2 Pc.,3.5
